SAMPLE,ULT
C1R1,33.66666667
C1R2,35.33333333
C1R4,35
C1R3,35.75
C1R5,35.5625
C2R1,35.21428571
C2R2,35.58333333
C2R3,35.16666667
C2R4,34.41666667
C2R5,36
C3R1,35.1875
C3R2,35.75
C3R3,35.08333333
C3R4,34.75
C3R5,35.58333333
C4R1,34.71428571
C4R2,35.83333333
C4R3,35
C4R4,35.33333333
C4R5,35.75
T1R1,36.71428571
T1R2,36.58333333
T1R4,37.19642857
T1R3,36.91666667
T1R5,37.2
T2R1,36.85714286
T2R2,35.75
T2R3,35.83333333
T2R4,36.58333333
T2R5,36.42857143
T3R1,35.86363636
T3R2,36.44444444
T3R3,36.40909091
T3R4,35.21
T3R5,36.15
T4R1,35.07142857
T4R2,35.25
T4R3,35.5625
T4R4,35.7
T4R5,35.1875
