GO.ID	pValue
GO:0003012	8.3e-06
GO:0098657	1.4e-05
GO:1901293	1.9e-05
GO:0060810	3.9e-05
GO:0006897	4.1e-05
GO:0034643	7.9e-05
GO:0140053	0.00016
GO:0000912	0.00018
GO:0006413	0.00019
GO:0002164	0.00024
GO:0044057	0.00024
GO:2001244	0.00026
GO:0044837	0.00041
GO:0060491	0.00043
GO:1901798	0.00045
GO:0002165	0.00047
GO:0006839	0.00056
GO:0007351	0.00066
GO:0120034	7e-04
GO:0032506	0.00085
GO:0001700	0.00087
GO:0019693	0.00089
GO:0097581	0.00119
GO:0008298	0.00121
GO:1902600	0.00122
GO:0006414	0.00128
GO:2001242	0.00142
GO:0080135	0.00145
GO:0003006	0.00177
GO:0045807	0.00195
GO:0035272	0.00204
GO:0120032	0.00206
GO:0007431	0.00283
GO:1902525	0.00295
GO:0051050	0.00299
GO:0045168	0.00328
GO:0007350	0.00335
GO:0007444	0.00359
GO:0000086	0.00413
GO:0009791	0.00445
GO:0032543	0.00487
GO:0061437	0.00505
GO:0051343	0.0052
GO:0007006	0.00533
GO:0007552	0.00565
GO:0048678	0.00567
GO:0007300	0.00622
GO:0035150	0.00624
GO:0007316	0.00634
GO:0009886	0.00639
GO:0031032	0.00672
GO:0007315	0.00704
GO:0090131	0.00718
GO:0051881	0.00743
GO:0030032	0.00765
GO:0047497	0.00765
GO:0007560	0.00788
GO:0006399	0.00809
GO:0048679	0.00817
GO:0030718	0.00821
GO:0035193	0.00829
GO:0022898	0.00853
GO:0030865	0.00858
GO:0070570	0.00906
GO:0043335	0.00931
GO:0006929	0.00931
GO:0035152	0.00932
GO:0070572	0.00949
GO:0061440	0.00967
GO:0090257	0.00967
GO:0045040	0.01026
GO:0007028	0.01027
GO:0000910	0.01059
GO:0043270	0.01073
GO:0072012	0.01079
GO:0045793	0.01087
GO:0061051	0.01089
GO:0006754	0.01094
GO:0009968	0.01096
GO:0140694	0.01121
GO:2001235	0.01136
GO:0031396	0.01156
GO:0030258	0.01164
GO:0046349	0.01204
GO:0030866	0.01226
GO:0046578	0.01238
GO:0007488	0.01284
GO:0072527	0.01294
GO:1902743	0.01329
GO:0038127	0.01337
GO:0098727	0.01418
GO:0048680	0.01445
GO:0007626	0.01463
GO:0035282	0.01486
GO:0045428	0.01554
GO:0006631	0.01558
GO:0007426	0.01637
GO:0022412	0.01655
GO:0051235	0.01671
GO:0032781	0.01673
GO:0061684	0.01716
GO:0016072	0.01757
GO:0043462	0.01808
GO:1902475	0.01838
GO:0040014	0.01865
GO:0106027	0.0187
GO:1904407	0.01883
GO:0048737	0.01985
GO:0045429	0.02023
GO:0006970	0.02075
GO:0016073	0.02095
GO:0009145	0.02117
GO:0090151	0.02123
GO:1904238	0.02139
GO:0097193	0.02148
GO:0006513	0.02165
GO:0007494	0.02196
GO:0009798	0.02197
GO:0030100	0.02202
GO:0007314	0.02206
GO:0019827	0.02208
GO:0072331	0.02222
GO:0080164	0.02231
GO:0007281	0.02242
GO:0072109	0.02245
GO:0072143	0.02301
GO:0072384	0.0241
GO:0050821	0.02518
GO:0006577	0.02529
GO:2001233	0.02555
GO:0072332	0.02613
GO:0045933	0.02635
GO:0010992	0.02659
GO:0072522	0.02664
GO:1901796	0.02666
GO:0072007	0.02689
GO:0009880	0.02691
GO:0006383	0.02717
GO:0050879	0.02721
GO:1903524	0.0274
GO:0048609	0.02746
GO:0006937	0.02764
GO:0007436	0.02797
GO:0009409	0.02814
GO:0042176	0.02877
GO:0051646	0.02898
GO:1904064	0.02924
GO:0009116	0.02993
GO:0097237	0.02995
GO:0006403	0.03018
GO:0002576	0.0305
GO:0051294	0.03067
GO:0070588	0.03151
GO:0072008	0.03238
GO:1901019	0.03291
GO:0009136	0.03301
GO:1901657	0.03349
GO:0010927	0.03387
GO:0061988	0.03389
GO:0009206	0.03417
GO:0009180	0.03421
GO:0031346	0.0349
GO:0008595	0.03539
GO:0030218	0.03545
GO:0045905	0.03592
GO:0051341	0.0363
GO:0006457	0.03632
GO:1901873	0.03644
GO:0010648	0.03704
GO:1904427	0.0377
GO:0055117	0.03803
GO:0002064	0.03817
GO:0044839	0.03877
GO:0023057	0.03885
GO:0032411	0.03949
GO:0048661	0.04017
GO:0030534	0.04054
GO:1904377	0.04054
GO:0048638	0.04122
GO:0009948	0.04143
GO:0016074	0.04182
GO:0006801	0.04188
GO:0006886	0.04218
GO:0016078	0.04222
GO:0002431	0.04283
GO:0006352	0.04287
GO:0030029	0.04318
GO:0046843	0.04428
GO:0000281	0.04559
GO:0006426	0.04614
GO:0097190	0.0462
GO:0009451	0.04669
GO:0043627	0.0467
GO:0030036	0.04678
GO:0046847	0.04758
GO:0097300	0.04789
GO:0090130	0.04824
GO:0051131	0.04932
GO:1903320	0.04945
GO:0046390	0.0495
GO:0007391	0.04978
