region	chr	midPos	Nsites
(711,937)(270388,270760)(250000,300000)	JASDQU010010013.1	275000	228	0.045207
(173,2244)(154310,162428)(150000,200000)	JASDQU010010031.1	175000	2073	0.441209
(1536,1949)(191701,192309)(150000,200000)	JASDQU010010034.1	175000	415	0.038193
(611,1210)(211082,211692)(200000,250000)	JASDQU010010035.1	225000	601	0.246959
(186,300)(128764,128913)(100000,150000)	JASDQU010010040.1	125000	116	0.106888
(301,1199)(343091,343989)(300000,350000)	JASDQU010010040.1	325000	900	0.165219
(346,587)(176403,188476)(150000,200000)	JASDQU010010049.1	175000	243	0.078928
(2088,2500)(153670,154158)(150000,200000)	JASDQU010010054.1	175000	414	0.042428
(2122,2127)(66027,66033)(50000,100000)	JASDQU010010056.1	75000	7	0.052457
(94,576)(118519,119086)(100000,150000)	JASDQU010010058.1	125000	484	0.771033
(77,576)(248729,249456)(200000,250000)	JASDQU010010065.1	225000	501	0.659728
(577,642)(285343,285428)(250000,300000)	JASDQU010010065.1	275000	67	0.123499
(630,798)(75186,75356)(50000,100000)	JASDQU010010068.1	75000	170	0.046563
(90,494)(159899,160316)(150000,200000)	JASDQU010010086.1	175000	406	0.028640
(304,314)(53694,53711)(50000,100000)	JASDQU010010095.1	75000	12	0.053702
(193,945)(320895,325458)(300000,350000)	JASDQU010010118.1	325000	754	0.473897
(2268,2287)(88220,88257)(50000,100000)	JASDQU010010129.1	75000	21	0.156026
(175,479)(50892,51219)(50000,100000)	JASDQU010010137.1	75000	306	0.412600
(919,1771)(57758,58650)(50000,100000)	JASDQU010010145.1	75000	854	0.270751
(37,592)(248054,248630)(200000,250000)	JASDQU010010146.1	225000	557	0.178752
(593,1346)(250169,268125)(250000,300000)	JASDQU010010146.1	275000	755	0.372316
(1115,1742)(226518,227172)(200000,250000)	JASDQU010010155.1	225000	629	0.736267
(57,484)(335969,336414)(300000,350000)	JASDQU010010181.1	325000	429	0.060339
(1301,2429)(250000,251363)(250000,300000)	JASDQU010010184.1	275000	1130	0.503748
(1951,1964)(148762,148783)(100000,150000)	JASDQU010010186.1	125000	15	0.069827
(2397,3034)(50000,87834)(50000,100000)	JASDQU010010197.1	75000	639	0.558107
(4,273)(129135,129708)(100000,150000)	JASDQU010010218.1	125000	271	0.400539
(6224,6404)(100951,101136)(100000,150000)	JASDQU010010227.1	125000	182	0.344342
(420,1405)(77893,82432)(50000,100000)	JASDQU010010231.1	75000	987	0.023828
(1406,3040)(302078,303894)(300000,350000)	JASDQU010010231.1	325000	1636	0.249347
(3041,3645)(487308,487979)(450000,500000)	JASDQU010010231.1	475000	606	0.025213
(3646,3876)(503250,503691)(500000,550000)	JASDQU010010231.1	525000	232	0.011566
(2010,2544)(119995,120535)(100000,150000)	JASDQU010010234.1	125000	536	0.527326
(217,1507)(194108,196421)(150000,200000)	JASDQU010010245.1	175000	1292	0.474250
(330,1060)(56903,62667)(50000,100000)	JASDQU010010265.1	75000	732	0.461404
(472,784)(332628,332952)(300000,350000)	JASDQU010010271.1	325000	314	0.282252
(596,1474)(53704,54598)(50000,100000)	JASDQU010010292.1	75000	880	0.308958
(1475,1740)(290591,294504)(250000,300000)	JASDQU010010292.1	275000	267	0.069256
(1810,1825)(220458,220476)(200000,250000)	JASDQU010010307.1	225000	17	0.060203
(772,1375)(106597,107273)(100000,150000)	JASDQU010010310.1	125000	605	0.157993
(468,1173)(245540,246256)(200000,250000)	JASDQU010010323.1	225000	707	-0.038027
(225,740)(292696,294117)(250000,300000)	JASDQU010010346.1	275000	517	0.092482
(651,1272)(78537,79190)(50000,100000)	JASDQU010010379.1	75000	623	0.111835
(256,1000)(75787,76540)(50000,100000)	JASDQU010010393.1	75000	746	0.412211
(280,318)(213032,213084)(200000,250000)	JASDQU010010405.1	225000	40	0.072454
(703,829)(99577,99714)(50000,100000)	JASDQU010010406.1	75000	128	0.169464
(23,573)(203572,204284)(200000,250000)	JASDQU010010416.1	225000	552	0.039942
(340,530)(91278,91471)(50000,100000)	JASDQU010010419.1	75000	192	0.043977
(551,1344)(220837,237065)(200000,250000)	JASDQU010010437.1	225000	795	0.192756
(694,876)(101975,102163)(100000,150000)	JASDQU010010459.1	125000	184	-0.007782
(309,406)(217922,218050)(200000,250000)	JASDQU010010510.1	225000	99	0.049942
(407,767)(254515,297227)(250000,300000)	JASDQU010010510.1	275000	362	0.080588
(1751,3069)(292750,296659)(250000,300000)	JASDQU010010524.1	275000	1320	0.526901
(142,2933)(50000,82980)(50000,100000)	JASDQU010010538.1	75000	2793	0.012683
(2934,4073)(293966,295135)(250000,300000)	JASDQU010010538.1	275000	1141	0.813885
(4074,5307)(437627,444970)(400000,450000)	JASDQU010010538.1	425000	1235	0.306891
(614,6522)(225453,234732)(200000,250000)	JASDQU010010545.1	225000	5910	0.320320
(474,994)(229265,230183)(200000,250000)	JASDQU010010551.1	225000	522	0.035110
(288,2045)(59711,97147)(50000,100000)	JASDQU010010577.1	75000	1759	0.724970
(414,474)(75771,75885)(50000,100000)	JASDQU010010589.1	75000	62	0.013249
(347,635)(111340,111656)(100000,150000)	JASDQU010010590.1	125000	290	0.138209
(145,1777)(181711,183524)(150000,200000)	JASDQU010010591.1	175000	1634	0.801154
(1101,1303)(78122,78324)(50000,100000)	JASDQU010010600.1	75000	204	0.065791
(2727,2758)(108812,108844)(100000,150000)	JASDQU010010631.1	125000	33	0.232884
(122,2529)(164796,169543)(150000,200000)	JASDQU010010645.1	175000	2409	0.260298
(685,783)(155794,155909)(150000,200000)	JASDQU010010661.1	175000	100	0.068796
(705,3485)(161639,166480)(150000,200000)	JASDQU010010666.1	175000	2782	0.709247
(3486,3633)(396977,397130)(350000,400000)	JASDQU010010666.1	375000	149	0.073154
(3634,3674)(420768,420853)(400000,450000)	JASDQU010010666.1	425000	42	0.070088
(1,60)(200000,200068)(200000,250000)	JASDQU010010672.1	225000	61	0.403906
(429,851)(75071,86469)(50000,100000)	JASDQU010010688.1	75000	424	0.058244
(137,1519)(212693,214082)(200000,250000)	JASDQU010010690.1	225000	1384	0.387748
(240,277)(110177,110229)(100000,150000)	JASDQU010010692.1	125000	39	0.098989
(2338,2402)(75585,75653)(50000,100000)	JASDQU010010697.1	75000	66	0.045514
(220,815)(150000,150595)(150000,200000)	JASDQU010010711.1	175000	597	0.261689
(738,783)(88271,88327)(50000,100000)	JASDQU010010712.1	75000	47	0.067926
(231,749)(100000,100521)(100000,150000)	JASDQU010010736.1	125000	520	0.258108
(986,1122)(58006,58163)(50000,100000)	JASDQU010010737.1	75000	138	0.215223
(776,1609)(196222,197069)(150000,200000)	JASDQU010010770.1	175000	835	0.024953
(923,1963)(50742,51805)(50000,100000)	JASDQU010010788.1	75000	1042	0.193233
(442,883)(160398,160854)(150000,200000)	JASDQU010010812.1	175000	443	0.053315
(884,908)(210085,210125)(200000,250000)	JASDQU010010812.1	225000	26	0.056352
(1829,1925)(117964,118255)(100000,150000)	JASDQU010010819.1	125000	98	0.140789
(180,2630)(109827,114110)(100000,150000)	JASDQU010010860.1	125000	2452	0.394302
(1869,3962)(82505,94523)(50000,100000)	JASDQU010010883.1	75000	2095	0.115297
(24,1336)(77416,79979)(50000,100000)	JASDQU010010910.1	75000	1314	0.247664
(389,1108)(145018,145749)(100000,150000)	JASDQU010010916.1	125000	721	0.251759
(896,1636)(51242,52011)(50000,100000)	JASDQU010010917.1	75000	742	0.232971
(2147,2195)(197303,197352)(150000,200000)	JASDQU010010949.1	175000	50	0.032017
(409,1193)(72133,98030)(50000,100000)	JASDQU010010950.1	75000	786	0.159597
(669,747)(125784,125869)(100000,150000)	JASDQU010010955.1	125000	80	0.094527
(86,694)(191001,191658)(150000,200000)	JASDQU010010971.1	175000	610	0.437463
(695,812)(201220,201651)(200000,250000)	JASDQU010010971.1	225000	119	0.048424
(263,1385)(70545,95036)(50000,100000)	JASDQU010010976.1	75000	1124	0.367238
(341,1549)(147745,148973)(100000,150000)	JASDQU010010977.1	125000	1210	0.061709
(1893,1926)(115006,115105)(100000,150000)	JASDQU010011022.1	125000	35	-0.007268
(456,918)(50181,83630)(50000,100000)	JASDQU010011027.1	75000	464	0.015598
(533,857)(272022,272600)(250000,300000)	JASDQU010011044.1	275000	326	0.208120
(534,548)(72960,72994)(50000,100000)	JASDQU010011046.1	75000	16	0.083889
(496,528)(56821,56903)(50000,100000)	JASDQU010011050.1	75000	34	-0.005344
(492,1445)(59416,60409)(50000,100000)	JASDQU010011054.1	75000	955	0.522194
(1446,1452)(245878,245886)(200000,250000)	JASDQU010011054.1	225000	8	0.945596
(962,1269)(170402,170726)(150000,200000)	JASDQU010011056.1	175000	309	0.624200
(438,690)(291536,291805)(250000,300000)	JASDQU010011088.1	275000	254	0.506727
(691,881)(342672,342864)(300000,350000)	JASDQU010011088.1	325000	192	0.449076
(657,1553)(302310,309301)(300000,350000)	JASDQU010011092.1	325000	898	0.319435
(1930,2208)(87634,87953)(50000,100000)	JASDQU010011112.1	75000	280	0.207942
(309,1035)(109859,124622)(100000,150000)	JASDQU010011116.1	125000	728	0.338422
(115,1104)(246320,247314)(200000,250000)	JASDQU010011137.1	225000	991	0.241584
(654,740)(55706,55793)(50000,100000)	JASDQU010011159.1	75000	88	0.816684
(529,969)(156423,156878)(150000,200000)	JASDQU010011186.1	175000	442	0.320490
(292,457)(208349,208518)(200000,250000)	JASDQU010011208.1	225000	167	-0.006396
(458,471)(349577,349595)(300000,350000)	JASDQU010011208.1	325000	15	0.047560
(689,1881)(123089,142549)(100000,150000)	JASDQU010011232.1	125000	1194	0.521790
(42,4496)(338712,343521)(300000,350000)	JASDQU010011246.1	325000	4456	0.583401
(63,165)(74077,74188)(50000,100000)	JASDQU010011254.1	75000	104	0.067754
(166,2226)(108512,142179)(100000,150000)	JASDQU010011254.1	125000	2062	0.429991
(2227,2263)(189307,189428)(150000,200000)	JASDQU010011254.1	175000	38	0.271173
(27,902)(55962,76392)(50000,100000)	JASDQU010011265.1	75000	877	0.323876
(247,1120)(198128,199007)(150000,200000)	JASDQU010011279.1	175000	875	0.579414
(19,716)(146307,147006)(100000,150000)	JASDQU010011285.1	125000	699	0.468392
(717,2049)(157632,158990)(150000,200000)	JASDQU010011285.1	175000	1334	0.446316
(1587,2393)(187123,187946)(150000,200000)	JASDQU010011294.1	175000	808	0.066123
(398,1774)(132366,133755)(100000,150000)	JASDQU010011299.1	125000	1378	0.712835
(1775,2173)(167372,197541)(150000,200000)	JASDQU010011299.1	175000	400	0.276544
(1294,1390)(150158,150283)(150000,200000)	JASDQU010011325.1	175000	98	0.201849
(848,1563)(154689,179138)(150000,200000)	JASDQU010011334.1	175000	717	0.095010
(25,900)(143589,145051)(100000,150000)	JASDQU010011340.1	125000	877	0.040413
(31,98)(181757,181832)(150000,200000)	JASDQU010011388.1	175000	69	0.063793
(324,606)(96332,96696)(50000,100000)	JASDQU010011404.1	75000	284	0.047644
(607,1146)(394508,395126)(350000,400000)	JASDQU010011404.1	375000	541	0.427160
(1147,1254)(452126,452254)(450000,500000)	JASDQU010011404.1	475000	109	0.048201
(623,3277)(251775,270693)(250000,300000)	JASDQU010011406.1	275000	2656	0.356476
(883,1767)(102327,132060)(100000,150000)	JASDQU010011412.1	125000	886	0.167141
(1905,6376)(75800,98894)(50000,100000)	JASDQU010011434.1	75000	4473	0.212152
(146,274)(61537,61683)(50000,100000)	JASDQU010011435.1	75000	130	0.164351
(831,1500)(210297,210998)(200000,250000)	JASDQU010011445.1	225000	671	0.218696
(1047,1586)(55977,56658)(50000,100000)	JASDQU010011454.1	75000	541	0.021263
(1587,1771)(145307,145491)(100000,150000)	JASDQU010011454.1	125000	186	0.012028
(1772,1955)(324315,347488)(300000,350000)	JASDQU010011454.1	325000	185	0.069161
(657,796)(75245,75398)(50000,100000)	JASDQU010011495.1	75000	141	0.658854
(688,1698)(98160,99335)(50000,100000)	JASDQU010011509.1	75000	1012	0.469229
(1752,1871)(140762,140894)(100000,150000)	JASDQU010011523.1	125000	121	0.199177
(2011,2974)(200344,203252)(200000,250000)	JASDQU010011528.1	225000	965	0.920633
(86,660)(91753,92421)(50000,100000)	JASDQU010011550.1	75000	576	0.024446
(1860,4396)(106465,111701)(100000,150000)	JASDQU010011558.1	125000	2538	0.773401
(382,1954)(277957,279534)(250000,300000)	JASDQU010011655.1	275000	1574	0.188833
(1951,2613)(229951,231942)(200000,250000)	JASDQU010011712.1	225000	664	0.108800
(1320,2748)(70974,72854)(50000,100000)	JASDQU010011713.1	75000	1430	0.294950
(2749,2978)(248914,249158)(200000,250000)	JASDQU010011713.1	225000	231	0.055043
(227,307)(50461,50565)(50000,100000)	JASDQU010011725.1	75000	82	0.070605
(336,662)(205275,205603)(200000,250000)	JASDQU010011735.1	225000	328	0.539406
(333,1477)(150475,168829)(150000,200000)	JASDQU010011737.1	175000	1146	0.035707
(161,1515)(236799,238359)(200000,250000)	JASDQU010011741.1	225000	1356	0.204959
(2210,2291)(180462,180558)(150000,200000)	JASDQU010011755.1	175000	83	0.256260
(50,590)(110059,111130)(100000,150000)	JASDQU010011763.1	125000	542	0.132869
(740,4662)(250000,256908)(250000,300000)	JASDQU010011766.1	275000	3924	0.416579
(659,735)(95146,95222)(50000,100000)	JASDQU010011792.1	75000	78	0.083562
(1,974)(50223,54938)(50000,100000)	JASDQU010011811.1	75000	975	0.850661
(1272,2277)(184307,187792)(150000,200000)	JASDQU010011818.1	175000	1007	0.341258
(197,494)(68462,69841)(50000,100000)	JASDQU010011822.1	75000	299	0.075626
(593,1308)(67820,68669)(50000,100000)	JASDQU010011849.1	75000	717	0.649458
(335,836)(217950,243924)(200000,250000)	JASDQU010011854.1	225000	503	0.011597
(837,1250)(257124,258118)(250000,300000)	JASDQU010011854.1	275000	415	0.053023
(222,227)(100754,100817)(100000,150000)	JASDQU010011859.1	125000	7	0.050487
(1304,1419)(236723,236856)(200000,250000)	JASDQU010011868.1	225000	117	0.099281
(130,515)(139600,140125)(100000,150000)	JASDQU010011895.1	125000	387	0.230891
(689,1025)(102008,133336)(100000,150000)	JASDQU010011928.1	125000	338	0.025429
(77,198)(104393,104518)(100000,150000)	JASDQU010011941.1	125000	123	0.026208
(11,346)(148596,148963)(100000,150000)	JASDQU010011946.1	125000	337	0.799436
(347,2560)(175415,192193)(150000,200000)	JASDQU010011946.1	175000	2215	0.305939
(268,1339)(74031,82818)(50000,100000)	JASDQU010011990.1	75000	1073	0.480733
(1641,2484)(50000,50844)(50000,100000)	JASDQU010012037.1	75000	845	0.540247
(108,249)(52506,52650)(50000,100000)	JASDQU010012102.1	75000	143	-0.017805
(167,2347)(114063,117507)(100000,150000)	JASDQU010012175.1	125000	2182	0.091359
(46,1415)(211562,212934)(200000,250000)	JASDQU010012204.1	225000	1371	0.637836
(292,607)(138535,138868)(100000,150000)	JASDQU010012216.1	125000	317	0.562792
